franchisee_name,name_variants,first_name,total_units,brands_operated,brand_count,is_multi_brand,primary_state,all_states,tier,instantly_sequence,messaging_note,apollo_search_hint,apollo_company,apollo_email,apollo_linkedin,apollo_title,restaurant_phone,sample_address
Harman Management Corporation,,Harman,194,KFC,1,No,CA,CA | CO | NE | OH | SD | WA | WY,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.",Harman Management Corporation KFC franchisee CA,,,,,801/313-8000,5550 East Woodmen Road
"Gps Hospitality Partners Iv, Llc",,Gps,189,Burger King,1,No,LA,AL | AR | FL | LA | MS,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Gps Hospitality Partners Iv, Llc Burger King franchisee LA",,,,,(251) 236-8679,700 Mcmeans Ave
Velarde,,Velarde,182,Burger King,1,No,WI,IA | IL | IN | MI | MN | NE | SD | WI,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.",Velarde Burger King franchisee WI,,,,,(712) 208-4631,90 Pierce St
"Hz Ops Holdings, Inc.",,Hz,177,Popeyes,1,No,IL,AR | AZ | CO | GA | IA | IL | IN | OH | WI,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Hz Ops Holdings, Inc. Popeyes franchisee IL",,,,,(479) 935-4665,2100 W Martin Luther King Blvd
Pilot Travel Centers Llc,,Pilot,171,Cinnabon,1,No,CALIFORNIA,ALABAMA | ARIZONA | ARKANSAS | CALIFORNIA | COLORADO | FLORIDA | GEORGIA | IDAHO | ILLINOIS | INDIANA | IOWA | KENTUCKY | LOUISIANA | MARYLAND | MASSACHUSETTS | MICHIGAN | MISSISSIPPI | MISSOURI | NEBRASKA | NEVADA | NEW JERSEY | NEW MEXICO | NEW YORK | NORTH CAROLINA | NORTH DAKOTA | OHIO | OKLAHOMA | OREGON | PENNSYLVANIA | SOUTH CAROLINA | SOUTH DAKOTA | TENNESSEE | TEXAS | UTAH | VIRGINIA | WASHINGTON | WEST VIRGINIA | WISCONSIN | WYOMING,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.",Pilot Travel Centers Llc Cinnabon franchisee CALIFORNIA,,,,,(205) 323-2177,224 Daniel Payne Drive
"Bailey, Brian K.",,"Bailey,",157,Domino's,1,No,TX,CO | NM | OK | TX,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Bailey, Brian K. Domino's franchisee TX",,,,,(719) 316-3030,1 Conley Rd.
"Ambrosia Qsr Washington, Llc","Ambrosia Qsr Burger, Llc / Ambrosia Qsr Chicken, Llc / Ambrosia Qsr Oregon, Llc / Ambrosia Qsr Washington, Llc",Ambrosia,154,Burger King | Popeyes,2,Yes,WA,ID | OR | WA,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Ambrosia Qsr Washington, Llc Burger King franchisee WA",,,,,(541) 497-1828,3060 Pacific Blvd Se
"Southern California Pizza Company, Llc",,Southern,152,Pizza Hut,1,No,CA,CA,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Southern California Pizza Company, Llc Pizza Hut franchisee CA",,,,,626/284-8200,1224 S Atlantic Blvd
Hut Florida Llc,,Hut,151,Pizza Hut,1,No,FL,FL,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.",Hut Florida Llc Pizza Hut franchisee FL,,,,,863/993-1193,2527 SE Hwy 70
"Graves, Susan L.",,"Graves,",149,Domino's,1,No,MN,IA | KY | MN | ND | NE | OH | PA | SD | WI | WV,A,nova_qsr_tier_a,"Has HR/Ops layer. Pain: no centralized hiring system across 16-200 locations. Pitch: Nova as command center for all-location hiring — one dashboard, AI screening, consistent process.","Graves, Susan L. Domino's franchisee MN",,,,,(712) 325-8848,2004 West Broadway
